常看 多源综合v26.1.31,#genre#
青海卫视,http://192.168.3.55:3566/947472506
青海卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://192.168.2.88:8888/udp/239.253.244.56:8000
西藏卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000045/index.m3u8
兵团卫视,http://192.168.2.88:8888/udp/239.253.244.57:8000
兵团卫视,http://192.168.3.55:3566/956923145
兵团卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000071/index.m3u8
农林卫视,http://192.168.2.88:8888/udp/239.253.244.70:8000
农林卫视,http://192.168.3.55:3566/956904896
农林卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000072/index.m3u8
厦门卫视,http://192.168.2.88:8888/udp/239.253.244.106:8000
厦门卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000075/index.m3u8
延边卫视,http://192.168.2.88:8888/udp/239.253.244.121:8000
大湾区卫视,http://192.168.3.55:3566/608917627
海峡卫视,http://192.168.3.55:3566/849119120
三沙卫视,http://192.168.3.55:3566/961023778
三沙卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000078/index.m3u8
影视,#genre#
CHC家庭影院,http://192.168.2.88:8888/udp/239.253.244.152:8000
CHC家庭影院,http://192.168.3.55:3566/644368373
CHC家庭影院,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002028/index.m3u8
CHC高清电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002029/index.m3u8
CHC动作电影,http://192.168.2.88:8888/udp/239.253.244.153:8000
CHC动作电影,http://192.168.3.55:3566/644368714
CHC动作电影,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00002030/index.m3u8
CHC影迷电影,http://192.168.2.88:8888/udp/239.253.244.154:8000
CHC影迷电影,http://192.168.3.55:3566/952383261
谍战剧场,http://192.168.2.88:8888/udp/239.253.244.135:8000
都市剧场,http://192.168.2.88:8888/udp/239.253.244.178:8000
都市剧场,http://192.168.2.88:8888/udp/239.253.244.98:8000
